# seed = 17
# n_valets = 3
# service_time = 5
time,event,n_customers
0.0,Arrival,1
3.689505632481279,Arrival,2
5.864601735286557,Arrival,2
6.148091792659592,Arrival,3
8.911497114032336,Arrival,3
8.925217090614135,Arrival,4
10.34913289295222,Arrival,5
12.486823936343265,Arrival,4
15.95756931130034,Arrival,3
17.164765399367923,Arrival,3
22.499029516396995,Arrival,1
25.015275353696154,Arrival,2
26.1229334621153,Arrival,3
29.843735691038784,Arrival,3
30.66377722789331,Arrival,3
31.51536380717087,Arrival,3
32.58613915369004,Arrival,4
33.63608527263029,Arrival,5
33.683282042922826,Arrival,6
33.87561118578699,Arrival,7
34.1924377499612,Arrival,8
35.34344467595105,Arrival,8
37.39111515123101,Arrival,7
37.788321059308494,Arrival,8
40.227117961311315,Arrival,8
51.39561172501153,Arrival,2
51.63230630438297,Arrival,2
51.81637662129322,Arrival,3
52.989795847509924,Arrival,4
56.44174043437927,Arrival,4
58.26345828666059,Arrival,3
60.95168361506872,Arrival,4
61.4006077134203,Arrival,4
62.740953567899524,Arrival,4
64.63816431645185,Arrival,4
64.89988624385562,Arrival,5
69.12277948127567,Arrival,3
69.74431323190228,Arrival,4
74.76162927594959,Arrival,2
79.03964033684893,Arrival,2
80.54476531393513,Arrival,2
81.5680135718786,Arrival,3
82.715133745654,Arrival,4
83.39997802772592,Arrival,5
83.76639934158649,Arrival,6
83.77415908698448,Arrival,7
83.8189299020735,Arrival,8
83.95422673622863,Arrival,9
85.67589315548976,Arrival,8
87.04655684767859,Arrival,8
87.2591090532989,Arrival,9
90.15882853000046,Arrival,9
91.84465402963484,Arrival,8
95.82619809303306,Arrival,7
97.22893212134964,Arrival,7
98.16850793976919,Arrival,8
100.46736122310841,Arrival,8
101.05430636082087,Arrival,8
101.76237753402796,Arrival,8
108.96288218925227,Arrival,6
110.35717250091074,Arrival,6
110.89103190100278,Arrival,6
115.3284303622687,Arrival,5
115.9042962924002,Arrival,5
118.34290365521882,Arrival,5
119.07309306597827,Arrival,5
119.59478333065802,Arrival,6
120.34025271935434,Arrival,7
121.01961518421633,Arrival,7
123.67373054526144,Arrival,7
125.61524153651783,Arrival,6
126.20109971839226,Arrival,7
127.43264284159268,Arrival,7
133.8413161021438,Arrival,5
135.09017376161157,Arrival,5
136.00198402209523,Arrival,5
136.27744408137505,Arrival,6
137.4188691151261,Arrival,6
137.66752735447318,Arrival,7
138.61122819024786,Arrival,8
140.5322911772802,Arrival,8
149.7768009754586,Arrival,3
156.0443851283841,Arrival,1
158.790591872584,Arrival,2
163.7445576989725,Arrival,2
164.37837345920514,Arrival,2
168.72207446088038,Arrival,3
169.11544923261997,Arrival,3
171.15080278613775,Arrival,3
171.56277153856612,Arrival,4
175.39684433421286,Arrival,3
176.47672684497132,Arrival,3
181.85508981405573,Arrival,1
184.2714661712491,Arrival,2
189.18884639154928,Arrival,2
190.3143399602957,Arrival,2
190.78975401072063,Arrival,3
191.4300222120791,Arrival,4
193.71438837720052,Arrival,5
194.69660748206817,Arrival,5
195.1940650429009,Arrival,6
195.72798162506305,Arrival,6
199.58234646933394,Arrival,5
199.61107439013378,Arrival,6
200.0186580401133,Arrival,7
200.48460188507747,Arrival,7
201.24417587360296,Arrival,7
203.30215679150567,Arrival,8
206.79958151160903,Arrival,6
206.8660280097547,Arrival,7
208.7165405637689,Arrival,8
209.21936646656843,Arrival,8
215.20682629366652,Arrival,6
221.62707607846215,Arrival,2
222.0317256088842,Arrival,3
226.3775958859749,Arrival,3
226.94721886556493,Arrival,3
228.8437406657412,Arrival,3
229.4563137804799,Arrival,4
229.6896876737565,Arrival,5
232.2521659348662,Arrival,4
234.19522379092354,Arrival,4
234.27920470338705,Arrival,5
234.81612697218608,Arrival,6
234.85101667673845,Arrival,7
236.56874463681555,Arrival,7
239.68105327166575,Arrival,6
242.71435493467064,Arrival,5
243.25738527476835,Arrival,6
248.29349514082028,Arrival,4
255.6711718310623,Arrival,1
257.58395636450456,Arrival,2
257.6629627070731,Arrival,3
258.2688608336214,Arrival,4
271.25991153935496,Arrival,1
271.7729602506284,Arrival,2
275.43001523866224,Arrival,3
275.77375615299616,Arrival,4
276.1304398205366,Arrival,5
277.61133656874773,Arrival,4
279.78463265814827,Arrival,5
281.9894968100115,Arrival,3
283.4901500845529,Arrival,4
292.0967220419284,Arrival,1
292.3523163288513,Arrival,2
293.2306118794755,Arrival,3
294.47052685133946,Arrival,4
294.9328287124613,Arrival,5
298.01121038729207,Arrival,4
302.51055380716144,Arrival,2
303.4218725633087,Arrival,2
305.69830564700726,Arrival,3
305.7077589726235,Arrival,4
306.1612257506489,Arrival,5
309.37562589066374,Arrival,4
310.0339111038883,Arrival,5
310.8309208080969,Arrival,5
313.43827369681753,Arrival,4
320.18944123842374,Arrival,2
322.85846485214495,Arrival,2
324.31460598109794,Arrival,3
325.15634769207827,Arrival,4
328.38913057819616,Arrival,3
333.5380873852646,Arrival,1
333.53971244329995,Arrival,2
334.8669276188708,Arrival,3
336.04607393173734,Arrival,4
336.1712268578289,Arrival,5
336.2617017260603,Arrival,6
336.37548526377526,Arrival,7
337.23054906851183,Arrival,8
337.6253093322352,Arrival,9
337.99822429407897,Arrival,10
338.68381318767183,Arrival,9
339.72238656326425,Arrival,10
342.4434295805901,Arrival,10
345.4816938881,Arrival,8
347.50729109926976,Arrival,9
351.9943443349624,Arrival,7
353.35810018405346,Arrival,8
354.4881774997742,Arrival,7
354.74338077163964,Arrival,8
355.5989810215061,Arrival,8
361.1368588824813,Arrival,6
361.5628898375913,Arrival,7
363.36191714211236,Arrival,8
369.33725463598233,Arrival,4
370.5426443400769,Arrival,4
372.63464222072344,Arrival,5
378.3266549789144,Arrival,3
380.4839756671487,Arrival,2
380.6467391669161,Arrival,3
382.21467123578486,Arrival,4
386.02460277325434,Arrival,2
390.71277235080305,Arrival,2
391.5385136039318,Arrival,2
392.03138119526886,Arrival,3
392.2630707532549,Arrival,4
394.21069979222256,Arrival,5
396.34917934449777,Arrival,5
396.88053467482143,Arrival,5
405.1746066666076,Arrival,2
406.0543554460866,Arrival,2
406.11523735785437,Arrival,3
406.73649701162657,Arrival,4
406.9706293509968,Arrival,5
412.0405362642061,Arrival,3
414.8306255725577,Arrival,4
414.8593539903676,Arrival,5
415.435835041207,Arrival,5
415.7271977437406,Arrival,6
416.0014214039066,Arrival,7
416.69826212678595,Arrival,7
418.5996325671776,Arrival,7
419.98441521776766,Arrival,8
420.4475956611836,Arrival,8
426.8883272995669,Arrival,5
432.5375238519694,Arrival,2
436.68608921166043,Arrival,2
437.9881970795467,Arrival,2
440.29200537444757,Arrival,3
440.9000309683945,Arrival,4
448.5324860711863,Arrival,1
450.64048488021245,Arrival,2
451.33843250689546,Arrival,3
457.1039026028748,Arrival,1
457.21327721580855,Arrival,2
459.3842533121137,Arrival,3
463.36560478356614,Arrival,2
468.87999741464336,Arrival,1
469.15662618501676,Arrival,2
469.8301967994508,Arrival,3
470.00525726166427,Arrival,4
472.69694942486024,Arrival,5
475.45626128745516,Arrival,3
476.4427056884214,Arrival,4
477.5742695864137,Arrival,5
477.9822449454135,Arrival,6
478.72230038101833,Arrival,7
480.0947800688563,Arrival,6
480.72838100383433,Arrival,6
480.9158842140002,Arrival,7
482.1642643512216,Arrival,8
483.08441394225343,Arrival,9
484.2404002615874,Arrival,8
484.8671860754367,Arrival,9
486.70951268981395,Arrival,9
491.37703163625855,Arrival,7
492.59221853257674,Arrival,8
500.27779055252347,Arrival,4
501.8428697982317,Arrival,4
503.86312736759015,Arrival,5
504.18048341945575,Arrival,4
505.9727751217223,Arrival,4
506.7183085222741,Arrival,5
506.95962363717075,Arrival,6
509.7255059350909,Arrival,5
511.05595414518973,Arrival,5
514.7977464470562,Arrival,4
518.8675735752481,Arrival,4
520.6440172055151,Arrival,2
521.1671681578912,Arrival,3
522.2047105807299,Arrival,4
522.2306939028772,Arrival,5
527.8245159045362,Arrival,3
528.426367519677,Arrival,4
529.5981866226535,Arrival,4
530.091551197937,Arrival,5
533.0970965791208,Arrival,4
533.792642320302,Arrival,5
533.8810327026594,Arrival,5
536.637173796403,Arrival,5
537.1646742831471,Arrival,6
542.6138930898811,Arrival,4
544.1062319222777,Arrival,3
550.4401127634063,Arrival,1
550.5422655387734,Arrival,2
550.6871032455707,Arrival,3
552.0178093998354,Arrival,4
552.5905206457318,Arrival,5
556.2443435475568,Arrival,3
557.938337608412,Arrival,4
558.2011165547588,Arrival,5
558.9778980695513,Arrival,6
562.0132370020559,Arrival,4
563.3997843047359,Arrival,5
567.8826328735273,Arrival,3
568.3183117041209,Arrival,4
568.7631183293628,Arrival,5
570.8728228713608,Arrival,4
571.4067765761129,Arrival,5
572.0052216324568,Arrival,6
573.5479209660431,Arrival,6
575.6377977373784,Arrival,5
576.3398714483454,Arrival,6
577.2486183914165,Arrival,7
577.331269320254,Arrival,8
579.9867735057338,Arrival,8
586.4366738059756,Arrival,4
587.5248823121619,Arrival,5
588.9411366214147,Arrival,5
589.8544059622941,Arrival,6
591.6330829082168,Arrival,5
592.0811617111575,Arrival,6
601.2497178843923,Arrival,1
602.3180684917834,Arrival,2
603.9425543072958,Arrival,3
604.328210362189,Arrival,4
605.0346072331447,Arrival,5
605.8095292603812,Arrival,6
613.6957863832503,Arrival,2
614.9574644700474,Arrival,2
618.7537423501772,Arrival,2
621.9618192395384,Arrival,2
623.9195810124587,Arrival,2
630.7371764006195,Arrival,1
631.6665659770609,Arrival,2
635.0048169714713,Arrival,3
635.4545387324583,Arrival,4
636.4960882803899,Arrival,4
639.4143238325847,Arrival,4
643.8164068351452,Arrival,2
646.6196404437758,Arrival,2
646.8543616825018,Arrival,3
648.70181165311,Arrival,4
649.5490951384227,Arrival,4
651.6895575976686,Arrival,4
654.4152979194665,Arrival,3
661.2471749760228,Arrival,1
662.659331406783,Arrival,2
665.0968572678375,Arrival,3
666.0339182571214,Arrival,4
667.4662591792231,Arrival,4
669.7846996210217,Arrival,4
669.8626141858231,Arrival,5
670.5586022021962,Arrival,5
673.6124241592738,Arrival,4
674.0421001797737,Arrival,5
676.235696732374,Arrival,5
676.6895724254388,Arrival,5
678.8439445001497,Arrival,5
679.9186961851558,Arrival,6
685.4855042644422,Arrival,3
685.7374863434103,Arrival,4
691.1520093789686,Arrival,2
691.7516230727724,Arrival,2
693.0923298062734,Arrival,3
694.6049090672914,Arrival,4
699.1821551365788,Arrival,2
701.09723270783,Arrival,3
703.5767385381037,Arrival,3
706.3297070976112,Arrival,2
706.5196522992052,Arrival,3
707.497996970891,Arrival,4
708.0725348137903,Arrival,5
711.1620172242597,Arrival,5
714.1818152661923,Arrival,3
716.4082282742562,Arrival,3
717.9943473920507,Arrival,3
