# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 1
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 5.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1
       0.000,     0,  Arrival,before,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   1
       0.933,     3,Finish(1),before,   1,   0,   1
       0.933,     3,Finish(1), after,   1,   0,   0
       3.510,     2,  Arrival,before,   0,   0,   0
       3.510,     2,  Arrival, after,   2,   0,   1
       8.989,     6,Finish(1),before,   1,   0,   1
       8.989,     6,Finish(1), after,   1,   0,   0
       9.190,     5,  Arrival,before,   0,   0,   0
       9.190,     5,  Arrival, after,   2,   0,   1
      11.366,     9,Finish(1),before,   1,   0,   1
      11.366,     9,Finish(1), after,   1,   0,   0
      25.963,     8,  Arrival,before,   0,   0,   0
      25.963,     8,  Arrival, after,   2,   0,   1
      31.852,    12,Finish(1),before,   1,   0,   1
      31.852,    12,Finish(1), after,   1,   0,   0
      40.630,    11,  Arrival,before,   0,   0,   0
      40.630,    11,  Arrival, after,   2,   0,   1
      40.762,    14,  Arrival,before,   1,   0,   1
      40.762,    14,  Arrival, after,   2,   1,   1
      42.407,    15,Finish(1),before,   1,   1,   1
      42.407,    15,Finish(1), after,   2,   0,   1
      42.730,    16,  Arrival,before,   1,   0,   1
      42.730,    16,  Arrival, after,   2,   1,   1
      44.139,    18,Finish(1),before,   1,   1,   1
      44.139,    18,Finish(1), after,   2,   0,   1
      45.957,    21,Finish(1),before,   1,   0,   1
      45.957,    21,Finish(1), after,   1,   0,   0
      53.851,    19,  Arrival,before,   0,   0,   0
      53.851,    19,  Arrival, after,   2,   0,   1
      53.932,    23,  Arrival,before,   1,   0,   1
      53.932,    23,  Arrival, after,   2,   1,   1
      57.532,    25,  Arrival,before,   1,   1,   1
      57.532,    25,  Arrival, after,   2,   2,   1
      58.538,    24,Finish(1),before,   1,   2,   1
