# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:22
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 2
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 10.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1,length_queue2,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   1,   0,   0
       1.866,     3,Finish(1),before,   1,   0,   1,   0,   0
       1.866,     3,Finish(1), after,   1,   0,   0,   0,   0
       3.510,     2,  Arrival,before,   0,   0,   0,   0,   0
       3.510,     2,  Arrival, after,   2,   0,   1,   0,   0
       9.190,     5,  Arrival,before,   1,   0,   1,   0,   0
       9.190,     5,  Arrival, after,   3,   0,   1,   0,   1
      13.542,     8,Finish(2),before,   2,   0,   1,   0,   1
      13.542,     8,Finish(2), after,   2,   0,   1,   0,   0
      14.469,     6,Finish(1),before,   1,   0,   1,   0,   0
      14.469,     6,Finish(1), after,   1,   0,   0,   0,   0
      25.963,     7,  Arrival,before,   0,   0,   0,   0,   0
      25.963,     7,  Arrival, after,   2,   0,   1,   0,   0
      37.742,    12,Finish(1),before,   1,   0,   1,   0,   0
      37.742,    12,Finish(1), after,   1,   0,   0,   0,   0
      40.630,    11,  Arrival,before,   0,   0,   0,   0,   0
      40.630,    11,  Arrival, after,   2,   0,   1,   0,   0
      40.762,    14,  Arrival,before,   1,   0,   1,   0,   0
      40.762,    14,  Arrival, after,   3,   0,   1,   0,   1
      42.730,    16,  Arrival,before,   2,   0,   1,   0,   1
      42.730,    16,  Arrival, after,   3,   1,   1,   0,   1
      44.184,    15,Finish(1),before,   2,   1,   1,   0,   1
      44.184,    15,Finish(1), after,   3,   0,   1,   0,   1
      44.225,    17,Finish(2),before,   2,   0,   1,   0,   1
      44.225,    17,Finish(2), after,   2,   0,   1,   0,   0
      47.819,    20,Finish(1),before,   1,   0,   1,   0,   0
      47.819,    20,Finish(1), after,   1,   0,   0,   0,   0
      53.851,    18,  Arrival,before,   0,   0,   0,   0,   0
      53.851,    18,  Arrival, after,   2,   0,   1,   0,   0
      53.932,    23,  Arrival,before,   1,   0,   1,   0,   0
      53.932,    23,  Arrival, after,   3,   0,   1,   0,   1
      57.532,    25,  Arrival,before,   2,   0,   1,   0,   1
